New Hashtags,Rank,Risers,Change,Fallers,Change
,,black friday,0,black friday,0
,,humidifier,0,humidifier,0
,,vacuum,0,vacuum,0
,,camera,0,camera,0
,,blender,0,blender,0
,,juicer,0,juicer,0
,,buy now,0,buy now,0
,,great deal,0,great deal,0
,,fan,0,fan,0
,,drone,0,drone,0
,,free shipping,0,free shipping,0
,,black friday sale,0,black friday sale,0
,,digitalcamera,0,digitalcamera,0
,,at home,0,at home,0
,,massager,0,massager,0
