New Hashtags,Rank,Risers,Change,Fallers,Change
,,protein coffee,0,protein coffee,0
,,tea,0,tea,0
,,coffee,0,coffee,0
,,fish and chips,0,fish and chips,0
,,candy,0,candy,0
,,50 %off,0,50 %off,0
,,free shipping,0,free shipping,0
,,cookie,0,cookie,0
,,get 50% off,0,get 50% off,0
,,first order,0,first order,0
,,your first order,0,your first order,0
,,chocolate,0,chocolate,0
,,zero sugar,0,zero sugar,0
,,clears morning grogginess,0,clears morning grogginess,0
,,gummy,0,gummy,0
