New Hashtags,Rank,Risers,Change,Fallers,Change
niche,4,guasha,19,giveaways,-22
productosdecabello,17,lorealparispartner,17,lorealparismakeup,-19
peachmcintyre,20,ghkcu,14,xmasnails,-16
lipoil,29,hairproductsyouneed,11,wintermakeup,-15
skincare101,55,holidayglow,11,dysonairwrap,-14
