New Hashtags,Rank,Risers,Change,Fallers,Change
makeup,1,slime,-10,hairroutine,-80
hair,2,hairgrowth,-17,gifted,-73
beauty,3,dollartree,-30,femininehygiene,-70
grwm,4,tartecosmetics,-40,sensitiveskin,-69
skincare,5,dollartreefinds,-42,basedbodyworks,-66
hairtok,6,skincaretok,-42,facemask,-64
curlyhair,7,photobooth,-43,estheticiantiktok,-63
hairstyle,8,drmelaxin,-44,blush,-61
nailart,9,concealer,-52,ulta,-58
nailinspo,10,ultabeauty,-53,glow,-58
skincareroutine,12,lipstick,-53,peekaboo,-56
nailtech,13,slimeasmr,-54,slimeasmr,-54
lashes,14,peekaboo,-56,ultabeauty,-53
barber,15,ulta,-58,lipstick,-53
haircut,16,glow,-58,concealer,-52
