New Hashtags,Rank,Risers,Change,Fallers,Change
southerncharm,28,simplyluxurious,10,bikinifashion,-32
reselling,37,prom2026,9,workoutset,-17
looks,38,comfystyle,9,whitefox,-17
set,39,weeklydeals,8,designerbags,-15
womenfashion,58,temufinds,7,spring2026,-14
resell,60,temu,6,bombparty,-13
bridesmaids,84,naturalglow,5,primavera,-12
retailtherapy,85,minimalbeauty,5,houstonrodeo,-10
hanes,89,funnyrelatable,5,widelegpants,-9
dubaiprincess,94,summerlooks,4,bikiniseason,-8
gymshorts,95,prom,3,beautyboss,-7
denimshorts,100,cleanaesthetic,3,confidentvibes,-7
,,denim,3,slaymode,-7
,,everydaybag,3,goodwill,-7
,,sunglasses,2,summersandals,-7
