New Hashtags,Rank,Risers,Change,Fallers,Change
pacificnorthwest,21,shamrock,38,workoutset,-18
temu,28,seniorprom,28,widelegpants,-14
temufinds,38,flipflops,13,everydaybag,-10
retailtherapy,57,denimshorts,12,summersandals,-9
bling,58,luckycharms,11,graphictee,-8
quinceanera,64,leopard,10,stpatricksdayoutfit,-8
tikokshop,68,raybanmeta,10,primavera,-7
oversizedshirt,78,comfystyle,10,crossbodybag,-5
promtransition,79,springvibes,7,cheetahprint,-5
pavoi,87,tiktokshopcreatorspicks,7,quietluxury,-5
bedazzle,90,funnyrelatable,6,tiktokshopjumpstartsale,-4
sheintrends,92,springoutfits,6,wirelessbra,-4
bagmusthaves,94,bikiniseason,6,formal,-4
porchgoose,95,polkadot,5,closet,-4
lentes,97,springstyle,5,leopardprint,-3
