New Hashtags,Rank,Risers,Change,Fallers,Change
tiktokshopcreatorpicks,1,verão,38,confidenceboost,-71
pink,2,formal,34,alo,-60
smallbusiness,3,tiktokshopholidayhaul,-2,pandora,-52
tattoo,5,tiktokshopblackfriday,-3,rolex,-50
unboxing,7,tiktokshopcybermonday,-5,comfort,-44
haul,8,thrifting,-12,giftsforher,-41
crochet,10,thrift,-12,blackfriday,-39
handmade,11,invierno,-12,walmartfinds,-37
vintage,12,piercing,-15,weddingdress,-37
shoes,13,winterfashion,-17,thriftfinds,-37
dress,14,chanel,-18,smallbusinessowner,-33
y2k,16,tiktokholidayhaul,-19,warm,-27
quinceañera,19,giftforher,-25,hat,-26
gold,21,gifts,-25,giftforher,-25
hoodie,22,hat,-26,gifts,-25
