New Hashtags,Rank,Risers,Change,Fallers,Change
,,shop now,0,shop now,0
,,free shipping,0,free shipping,0
,,join now,0,join now,0
,,for spring,0,for spring,0
,,limited time,0,limited time,0
,,50 %off,0,50 %off,0
,,winter,0,winter,0
,,up to 40% off,0,up to 40% off,0
,,live now,0,live now,0
,,20 % off,0,20 % off,0
,,get 15% off,0,get 15% off,0
,,for a limited time,0,for a limited time,0
,,winter sale,0,winter sale,0
,,black friday,0,black friday,0
,,new arrivals,0,new arrivals,0
