New Hashtags,Rank,Risers,Change,Fallers,Change
clean,1,drift,-16,lincoln,-76
cars,2,madeinjapan,-20,yozma,-75
trucktok,3,westtexas,-24,carhacks,-72
honda,4,carcrash,-35,bubba,-69
toyota,5,emoto,-35,odessa,-68
rich,6,coldstart,-40,raptor,-63
bubbatruck🌾,7,clean🧼,-40,tooltok,-62
jeep,8,digrigs🌾,-40,gmt800,-48
driving,9,midlandtx,-44,midlandtx,-44
cinematic,10,gmt800,-48,coldstart,-40
f150,11,tooltok,-62,clean🧼,-40
audi,12,raptor,-63,digrigs🌾,-40
aviation,13,odessa,-68,carcrash,-35
squattedtrucks🤢,14,bubba,-69,emoto,-35
corvette,15,carhacks,-72,westtexas,-24
