New Hashtags,Rank,Risers,Change,Fallers,Change
crochet,4,needlepoint,34,dst1913,-26
reseller,8,knittok,26,prettygardensweatsuit,-25
sales,10,retailtherapy,25,shipping,-22
deltasigmatheta,31,knitting,21,blackfridaydeals,-20
activewear,53,chromehearts,21,sunsetaesthetic,-13
