New Hashtags,Rank,Risers,Change,Fallers,Change
tiktokshopcreatorpicks,1,miaminights,41,bikinilove,-78
thrifting,7,nightlifebeauty,40,beachykeen,-75
thrift,8,grungeglam,37,swimwearmodel,-73
walmartfinds,18,indoorbeauty,37,bikinibabe,-71
christmashaul,25,latinavibes,36,christmasgifts,-46
