Apparel_hashtag,Apparel_rank_today,Apparel_rank_prev_state,Apparel_rank_delta,Beauty_Personal_Care_hashtag,Beauty_Personal_Care_rank_today,Beauty_Personal_Care_rank_prev_state,Beauty_Personal_Care_rank_delta,Financial_Services_hashtag,Financial_Services_rank_today,Financial_Services_rank_prev_state,Financial_Services_rank_delta,Food_Beverage_hashtag,Food_Beverage_rank_today,Food_Beverage_rank_prev_state,Food_Beverage_rank_delta,Home_Improvement_hashtag,Home_Improvement_rank_today,Home_Improvement_rank_prev_state,Home_Improvement_rank_delta,Tech_Electronics_hashtag,Tech_Electronics_rank_today,Tech_Electronics_rank_prev_state,Tech_Electronics_rank_delta,Vehicle_Transportation_hashtag,Vehicle_Transportation_rank_today,Vehicle_Transportation_rank_prev_state,Vehicle_Transportation_rank_delta
verão,15,53,38,slime,11,1,-10,makemoneyonline,4,3,-1,sourdough,7,3,-4,,,,,phonechargerstand,43,100,57,drift,18,2,-16
formal,52,86,34,hairgrowth,19,2,-17,taxes,6,2,-4,brookeandjubal,10,4,-6,,,,,honormagic8pro,42,44,2,madeinjapan,21,1,-20
tiktokshopholidayhaul,4,2,-2,dollartree,33,3,-30,entrepreneurship,8,4,-4,seconddateupdate,12,6,-6,,,,,innovation,1,1,0,westtexas,27,3,-24
tiktokshopblackfriday,6,3,-3,tartecosmetics,45,5,-40,shopify,20,13,-7,seconddate,15,7,-8,,,,,ipad,3,2,-1,carcrash,39,4,-35
tiktokshopcybermonday,9,4,-5,dollartreefinds,50,8,-42,personalfinance,13,5,-8,groceryshopping,22,5,-17,,,,,kindle,9,3,-6,emoto,43,8,-35
thrifting,17,5,-12,skincaretok,84,42,-42,earnmoneyfromhome,19,11,-8,chickfila,31,12,-19,,,,,heater,14,4,-10,coldstart,45,5,-40
thrift,18,6,-12,photobooth,63,20,-43,womeninbusiness,15,6,-9,cheesecake,30,10,-20,,,,,spaceheater,22,12,-10,clean🧼,47,7,-40
invierno,20,8,-12,drmelaxin,53,9,-44,llc,18,9,-9,costco,29,8,-21,,,,,skullcandy,80,65,-15,digrigs🌾,51,11,-40
piercing,37,22,-15,concealer,67,15,-52,palantir,73,64,-9,sourdoughbread,32,11,-21,,,,,heatingpad,29,13,-16,midlandtx,54,10,-44
winterfashion,41,24,-17,ultabeauty,59,6,-53,fba,35,25,-10,kitchenhacks,36,13,-23,,,,,wifi,23,5,-18,gmt800,60,12,-48
chanel,45,27,-18,lipstick,64,11,-53,lifeinsurance,27,16,-11,sourdoughstarter,39,15,-24,,,,,3dprinter,27,9,-18,tooltok,77,15,-62
tiktokholidayhaul,40,21,-19,slimeasmr,71,17,-54,entrepreneurmindset,30,19,-11,soda,42,17,-25,,,,,kindlegirlie,26,6,-20,raptor,79,16,-63
giftforher,35,10,-25,peekaboo,96,40,-56,tax,24,12,-12,7brew,40,14,-26,,,,,techfinds,35,15,-20,odessa,87,19,-68
gifts,48,23,-25,ulta,68,10,-58,beginnerfriendly,29,17,-12,sourdoughtok,51,19,-32,,,,,handwarmers,47,26,-21,bubba,94,25,-69
hat,56,30,-26,glow,70,12,-58,sidehustles,21,8,-13,girldinner,56,22,-34,,,,,tablet,31,8,-23,carhacks,86,14,-72
warm,59,32,-27,blush,75,14,-61,homeownership,28,14,-14,costcofinds,54,18,-36,,,,,prepper,33,10,-23,yozma,97,22,-75
smallbusinessowner,42,9,-33,estheticiantiktok,76,13,-63,impuestos,34,20,-14,latenightsnack,83,45,-38,,,,,djiosmopocket3,44,21,-23,lincoln,100,24,-76
walmartfinds,62,25,-37,facemask,85,21,-64,dollargeneral,22,7,-15,breakfastideas,59,9,-50,,,,,tripode,92,66,-26,clean,1,,
weddingdress,63,26,-37,basedbodyworks,90,24,-66,irs,25,10,-15,boba,71,20,-51,,,,,rechargeable,38,11,-27,cars,2,,
thriftfinds,66,29,-37,sensitiveskin,95,26,-69,mining,39,24,-15,dumplings,92,26,-66,,,,,bambulab,41,14,-27,trucktok,3,,
blackfriday,72,33,-39,femininehygiene,93,23,-70,contentstrategy,42,27,-15,sprite,91,24,-67,,,,,privacy,36,7,-29,honda,4,,
giftsforher,78,37,-41,gifted,89,16,-73,livingtrust,38,22,-16,cookinghacks,93,25,-68,,,,,osmopocket3,58,29,-29,toyota,5,,
comfort,88,44,-44,hairroutine,99,19,-80,settlement,48,29,-19,breadtok,95,23,-72,,,,,chargingstation,57,27,-30,rich,6,,
rolex,91,41,-50,makeup,1,,,finacialfreedom,82,63,-19,food,1,,,,,,,wifiextender,61,31,-30,bubbatruck🌾,7,,
pandora,100,48,-52,hair,2,,,taxrefund,36,15,-21,mukbang,2,,,,,,,jbl,50,19,-31,jeep,8,,
alo,94,34,-60,beauty,3,,,finance101,89,68,-21,foodtok,3,,,,,,,telephone,90,59,-31,driving,9,,
confidenceboost,99,28,-71,grwm,4,,,startups,99,78,-21,starbucks,4,,,,,,,tws,64,28,-36,cinematic,10,,
tiktokshopcreatorpicks,1,,,skincare,5,,,ripples,100,79,-21,read,5,,,,,,,steamiron,79,35,-44,f150,11,,
pink,2,,,hairtok,6,,,creatoreconomy,53,30,-23,recipe,6,,,,,,,printer,75,30,-45,audi,12,,
smallbusiness,3,,,curlyhair,7,,,homebuyingtips,45,21,-24,homemade,8,,,,,,,cable,63,17,-46,aviation,13,,
tattoo,5,,,hairstyle,8,,,blueprint,55,31,-24,dinnerideas,9,,,,,,,powerstrip,91,43,-48,squattedtrucks🤢,14,,
unboxing,7,,,nailart,9,,,customersuccess,62,38,-24,pizza,11,,,,,,,vloggingcamera,98,48,-50,corvette,15,,
haul,8,,,nailinspo,10,,,economia,69,45,-24,chicken,13,,,,,,,kindleaccessories,78,23,-55,offroad,16,,
crochet,10,,,skincareroutine,12,,,founderlife,75,51,-24,easyrecipe,14,,,,,,,iphonewallpaper,76,16,-60,rgv,17,,
handmade,11,,,nailtech,13,,,debtpayoffjourney,88,60,-28,cake,16,,,,,,,kindlepaperwhite,94,25,-69,diesel,19,,
vintage,12,,,lashes,14,,,taxprofessional,70,41,-29,dessert,17,,,,,,,tech,2,,,porsche,20,,
shoes,13,,,barber,15,,,budgetingtips,76,47,-29,snacks,18,,,,,,,headphones,4,,,caredit,22,,
dress,14,,,haircut,16,,,sidemoney,68,36,-32,comfortfood,19,,,,,,,iphone17promax,5,,,lexus,23,,
y2k,16,,,makeuptutorial,17,,,taxtips,51,18,-33,dubaichocolate,20,,,,,,,powerbank,6,,,ram,24,,
quinceañera,19,,,fragrance,18,,,highticketsales,72,39,-33,chocolate,21,,,,,,,earbuds,7,,,subaru,25,,
