Apparel_hashtag,Apparel_rank_today,Apparel_rank_prev_state,Apparel_rank_delta,Beauty_Personal_Care_hashtag,Beauty_Personal_Care_rank_today,Beauty_Personal_Care_rank_prev_state,Beauty_Personal_Care_rank_delta,Financial_Services_hashtag,Financial_Services_rank_today,Financial_Services_rank_prev_state,Financial_Services_rank_delta,Food_Beverage_hashtag,Food_Beverage_rank_today,Food_Beverage_rank_prev_state,Food_Beverage_rank_delta,Home_Improvement_hashtag,Home_Improvement_rank_today,Home_Improvement_rank_prev_state,Home_Improvement_rank_delta,Tech_Electronics_hashtag,Tech_Electronics_rank_today,Tech_Electronics_rank_prev_state,Tech_Electronics_rank_delta,Vehicle_Transportation_hashtag,Vehicle_Transportation_rank_today,Vehicle_Transportation_rank_prev_state,Vehicle_Transportation_rank_delta
tiktokshopholidayhaul,1,,,perfume,1,,,savingmoney,1,,,brookeandjubal,1,,,,,,,ipad,1,,,rich,1,,
tiktokshopblackfriday,2,,,fragrance,2,,,financialliteracy,2,,,sourdough,2,,,,,,,innovation,2,,,wrapped,2,,
tiktokshopcybermonday,3,,,nail,3,,,moneymindset,3,,,seconddateupdate,3,,,,,,,gadgets,3,,,carcrash,3,,
haul,4,,,cologne,4,,,entrepreneurlife,4,,,seconddate,4,,,,,,,kindle,4,,,ram,4,,
unboxing,5,,,fragrancetiktok,5,,,retirement,5,,,tamales,5,,,,,,,phonecharger,5,,,drift,5,,
holidayhaul,6,,,hairdye,6,,,personalfinance,6,,,chickfila,6,,,,,,,heater,6,,,uber,6,,
crochet,7,,,perfumetok,7,,,earnmoneyfromhome,7,,,drpepper,7,,,,,,,wifi,7,,,tahoe,7,,
bikinibabe,8,,,dollartree,8,,,taxseason,8,,,cafe,8,,,,,,,spaceheater,8,,,clean🧼,8,,
bikinilove,9,,,medicube,9,,,lifeinsurance,9,,,sourdoughbread,9,,,,,,,macbook,9,,,gmt800,9,,
swimwearmodel,10,,,nightroutine,10,,,creditrepair,10,,,sourdoughstarter,10,,,,,,,applewatch,10,,,emoto,10,,
beachykeen,11,,,effortlessbeauty,11,,,moneysavingtips,11,,,fig,11,,,,,,,jbl,11,,,caraccident,11,,
gifts,12,,,mascara,12,,,shopify,12,,,bakery,12,,,,,,,humidifier,12,,,digrigs🌾,12,,
christmasgift,13,,,nails💅,13,,,healthinsurance,13,,,7brew,13,,,,,,,djiosmopocket3,13,,,upgrade,13,,
christmasgifts,14,,,eyelashes,14,,,marketingstrategy,14,,,soda,14,,,,,,,kindlegirlie,14,,,carcare,14,,
christmasgiftideas,15,,,naturalglow,15,,,financetips,15,,,costcofinds,15,,,,,,,futuretech,15,,,ultrabee,15,,
winterfashion,16,,,drmelaxin,16,,,investingforbeginners,16,,,chinesefood,16,,,,,,,3dprinter,16,,,autorepair,16,,
sewing,17,,,glittermakeup,17,,,savingschallenge,17,,,shawarma,17,,,,,,,pinkipad,17,,,faba,17,,
verão,18,,,bathandbodyworks,18,,,wealthmindset,18,,,pho,18,,,,,,,bambulab,18,,,glamis,18,,
blackfriday,19,,,blush,19,,,micropayments,19,,,dumplings,19,,,,,,,techfinds,19,,,automotivemusthaves,19,,
chanel,20,,,bangs,20,,,taxtips,20,,,hotchocolate,20,,,,,,,heatingpad,20,,,snowremoval,20,,
videowave,21,,,redlighttherapy,21,,,sidegigs,21,,,milk,21,,,,,,,honormagic8pro,21,,,vehicleaccessory,21,,
reseller,22,,,settingspray,22,,,ahorro,22,,,waterboy,22,,,,,,,headset,22,,,stuck,22,,
crochetersoftiktok,23,,,elf,23,,,savemoneytips,23,,,girldinner,23,,,,,,,wirelesscharging,23,,,jumpstarter,23,,
coldweather,24,,,gifted,24,,,finanzaspersonales,24,,,cocacola,24,,,,,,,walkietalkie,24,,,usanavy,24,,
giftsforher,25,,,adventcalendar,25,,,creditscore,25,,,nespresso,25,,,,,,,4in1armrestcharger,25,,,offroadtiktok,25,,
tiktokshopfalldealsforyou,26,,,colognetiktok,26,,,libertadfinanciera,26,,,kitchenaid,26,,,,,,,chargingstation,26,,,dieseltruck,26,,
southerncharm,27,,,medicubeskincare,27,,,sidemoney,27,,,courtneycook,27,,,,,,,handwarmers,27,,,cybertruck,27,,
urbanchic,28,,,concealer,28,,,taxrefund,28,,,butter,28,,,,,,,multifunctional,28,,,gto,28,,
holidayseason,29,,,freeforms,29,,,moneymanagement,29,,,gingerbreadhouse,29,,,,,,,smartphonekids,29,,,coldstart,29,,
californiadreamin,30,,,medspa,30,,,livingtrust,30,,,dietcoke,30,,,,,,,osmopocket3,30,,,yozma,30,,
louisvuitton,31,,,projectpan,31,,,xrpripple,31,,,savory,31,,,,,,,mechanicalkeyboard,31,,,lowriders,31,,
giftidea,32,,,antiagingskincare,32,,,budgetingtips,32,,,sweetpotato,32,,,,,,,rgblights,32,,,detail,32,,
metaglasses,33,,,trim,33,,,debtpayoffjourney,33,,,pozole,33,,,,,,,magneticpowerbank,33,,,odessa,33,,
softaesthetic,34,,,dysonairwrap,34,,,makemoneyfromyourphone,34,,,bakingtiktok,34,,,,,,,portablewifi,34,,,squatedtrucks🤮,34,,
sewingtiktok,35,,,oddlysatisfyingvideo,35,,,businessowners,35,,,latenightsnack,35,,,,,,,wifiextender,35,,,flames,35,,
wildheart,36,,,basedbodyworks,36,,,credittips,36,,,chocoflan,36,,,,,,,kindlepaperwhite,36,,,cartools,36,,
pandora,37,,,kitsch,37,,,fintok,37,,,appetizer,37,,,,,,,smartaccessory,37,,,garageessential,37,,
