New Hashtags,Rank,Risers,Change,Fallers,Change
7brew,5,crawfishboil,57,weekendplans,-26
tastetest,7,grillingseason,27,waffles,-26
treatmaker,22,cottagebakery,25,granola,-26
butcher,33,crawfishseason,23,cuttingmix,-25
yogurtbowl,43,aguafresca,23,drinkreview,-19
pepsi,46,carneseca,17,tuna,-18
ketchup,48,softservemargarita,14,proteindrink,-17
cocoa,58,imdumb,10,cosina,-16
mountaindew,66,fruta,10,acai,-15
barbecue,77,frozenyogurt,10,acaibowls,-14
pastelespersonalizados,81,jelly,9,erewhon,-13
whataburger,84,showcasemademebuyit,9,healthyrecipe,-12
weddingcake,88,tiktokgo,8,easycooking,-12
tendernism,92,pinkdrink,8,amadecasa,-7
flavoredwater,93,bentobox,7,dutchbroscoffee,-7
