New Hashtags,Rank,Risers,Change,Fallers,Change
protein,2,breadtok,79,sourdough,6
tacobell,3,dumplings,73,cheesecake,20
sanantonio,4,breakfastideas,53,sourdoughbread,27
italian,9,canes,51,soda,29
healthymeals,12,sprite,50,sourdoughstarter,32
hielo,14,salt,41,7brew,32
biscoff,15,sourdoughtok,40,pepsi,36
proteinbar,17,pepsi,36,sourdoughtok,40
dryjanuary,18,sourdoughstarter,32,salt,41
sweetpotato,20,7brew,32,sprite,50
nespresso,21,soda,29,canes,51
spaghetti,22,sourdoughbread,27,breakfastideas,53
samsclub,23,cheesecake,20,dumplings,73
yogurt,24,sourdough,6,breadtok,79
courtneycook,26,,,,
