New Hashtags,Rank,Risers,Change,Fallers,Change
tap to play,1,at night,71,you try it,-125
this game,2,new characters,34,dive in and chase victory,-106
free,3,win the game,33,ready to conquer,-103
puzzles,4,1 mahjong game,33,build your empire,-92
play now,5,play the sweetest game,32,super satisfying game,-84
perfect for breaks,6,tap to build,29,can you solve this level,-82
casual,7,mobile game,26,amazing game,-77
dive into game features now,8,get 30 billion diamonds,26,who can beat her score,-75
for free,9,casual and easy mahjong game,25,unique casual games,-72
game is so much fun,10,please download,21,td game,-71
get it now,11,watch me,20,best game,-71
stressed out,12,playing this game,17,explore free games,-71
tricky yet fun puzzles,13,try one,14,immerse yourself,-71
feeling stressed,14,sharpen your mind,11,play free now,-71
download now,15,great mind relaxer,10,stress-relieving,-67
