New Hashtags,Rank,Risers,Change,Fallers,Change
thrifting,3,allblack,24,holidayhaul,-25
piercing,10,bedazzled,15,giftideasforher,-18
weddingdress,17,promisering,12,christmasgift,-18
beautyboss,24,matchingset,11,retailtherapy,-17
formal,38,aritzia,9,prom2026,-16
