New Hashtags,Rank,Risers,Change,Fallers,Change
,,baby monitor,3,kid,-4
,,limited time,3,my kids,-4
,,mattress,3,for kids,-2
,,playmat,3,toys,-1
,,your baby,2,winter,-1
,,baby carrier,2,baby,0
,,moms,2,kids,0
,,20 % off,1,diaper bag,0
,,free shipping,1,your kids,0
,,baby,0,toy,0
,,kids,0,for babies,0
,,diaper bag,0,babytoys,0
,,your kids,0,baby clothes,0
,,toy,0,shop now,0
,,for babies,0,20 % off,1
