New Hashtags,Rank,Risers,Change,Fallers,Change
,,moms,5,baby,0
,,mattress,4,kids,0
,,baby monitor,3,diaper bag,0
,,limited time,2,your kids,0
,,playmat,2,20 % off,0
,,baby clothes,1,your baby,0
,,shop now,1,for kids,0
,,baby,0,toys,0
,,kids,0,toy,0
,,diaper bag,0,for babies,0
,,your kids,0,free shipping,0
,,20 % off,0,baby carrier,0
,,your baby,0,baby clothes,1
,,for kids,0,shop now,1
,,toys,0,limited time,2
