New Hashtags,Rank,Risers,Change,Fallers,Change
protein,1,tortillas,2,breakfasttime,-64
louisiana,4,erewhon,2,margaritas,-61
icedcoffee,5,burger,1,crawfishboil,-58
eggs,7,mealprepideas,1,crawfishseason,-44
cheese,8,sweetpotato,0,foodvlog,-38
miaminights,11,sourdough,-1,mocktail,-36
satx,13,sourdoughbread,-1,pickle,-34
proteinbar,17,caffeine,-1,biscoffcheesecake,-34
bloomnutrition,18,sugarfree,-2,biscoff,-29
tacotuesdays,21,coffeemaker,-2,peeps,-25
margarita,22,dumplings,-3,nutella,-24
healthyrecipe,24,latte,-4,proteindrink,-21
hangout,25,breadtok,-4,mariscos,-20
bacon,27,littlecaesars,-4,pinkdrink,-20
snackideas,32,sourdoughtok,-5,sardines,-17
