New Hashtags,Rank,Risers,Change,Fallers,Change
food,1,sourdough,-4,breadtok,-72
mukbang,2,brookeandjubal,-6,cookinghacks,-68
foodtok,3,seconddateupdate,-6,sprite,-67
starbucks,4,seconddate,-8,dumplings,-66
read,5,groceryshopping,-17,boba,-51
recipe,6,chickfila,-19,breakfastideas,-50
homemade,8,cheesecake,-20,latenightsnack,-38
dinnerideas,9,costco,-21,costcofinds,-36
pizza,11,sourdoughbread,-21,girldinner,-34
chicken,13,kitchenhacks,-23,sourdoughtok,-32
easyrecipe,14,sourdoughstarter,-24,7brew,-26
cake,16,soda,-25,soda,-25
dessert,17,7brew,-26,sourdoughstarter,-24
snacks,18,sourdoughtok,-32,kitchenhacks,-23
comfortfood,19,girldinner,-34,costco,-21
