Apparel,Beauty_Personal_Care,Financial_Services,Food_Beverage,Home Improvement,Tech_Electronics,Vehicle_Transportation
spring,slime,digitalmarketing,starbucks,gardening,techtips,ebike
tiktokshopspringglowup,medicube,marketing,disneyadventureworld,housetour,phonestand,surron
tiktokshopstockup,tanning,investing,worldoffrozen,gardentok,coolingfan,gas
