Apparel,Beauty_Personal_Care,Business_Services,Financial_Services,Food_Beverage,Home Improvement,Tech_Electronics,Vehicle_Transportation
spring,slime,tailorbrands,marketing,starbucks,gardening,powerbank,ebike
thatgirl,shampoo,,digitalmarketing,disneyadventureworld,plants,dji,surron
bikini,medicube,,entrepreneurlife,worldoffrozen,homehacks,electronics,gas
