New Hashtags,Rank,Risers,Change,Fallers,Change
jean,1,glasses,-20,glasses,-20
jeans,2,sunglass,-20,sunglass,-20
bra,3,casual,-20,casual,-20
dress,4,boots,-20,boots,-20
shoe,5,sunglasses,-20,sunglasses,-20
free shipping,6,sweatpants,-20,sweatpants,-20
shoes,7,earrings,-20,earrings,-20
men,8,oversized,-20,oversized,-20
pant,9,denim,-20,denim,-20
leggings,10,cute,-20,cute,-20
pants,11,womensfashion,-20,womensfashion,-20
shapewear,12,tshirt,-20,tshirt,-20
shop now,13,sneakers,-20,sneakers,-20
bag,14,winter,-20,winter,-20
ring,15,gold,-20,gold,-20
