New Hashtags,Rank,Risers,Change,Fallers,Change
fitinspo,16,funnyrelatable,11,formal,-41
sales,27,relatableaf,8,cider,-28
zara,40,workwear,8,colorful,-24
newarrivals,41,giftformom,6,seniorprom,-19
promtransition,47,summervibes☀️,4,summerdresses,-19
breathable,49,sunglasses,3,springvibes,-19
coachellaoutfit,52,usbeauty,3,popup,-18
tryon,61,womenshirt,3,dailyfashion,-16
casualchic,68,original,2,heydude,-16
momgift,88,springfashion,2,sandalias,-16
polo,92,summerstyle,2,summerready,-15
tijneyewear,93,summerdress,2,momfinds,-14
familybusiness,94,vacationoutfits,2,curvyfashion,-14
lawn,99,summervibe,2,oldnavy,-11
creation,100,bikini,1,chattyvlog,-11
