New Hashtags,Rank,Risers,Change,Fallers,Change
luckoftheirish,12,stpatricksdayoutfit,63,tiktokshopcreatorspicks,-23
wholesale,25,shamrock,56,bagtok,-20
cowgirlstyle,31,stpattysday,41,tiktokshopcreatorpick,-14
heels,34,swimwear,9,wirelessbra,-14
whitefox,43,sunglasses,9,supplier,-13
faja,47,confidenceboost,7,bedazzled,-12
momfinds,57,tiktokshopjumpstartsale,6,upcycling,-12
clover,58,funnyrelatable,6,primavera,-12
luckycharm,65,closetcleanout,6,watchtok,-11
shoulderbag,73,scrubs,4,curvyfashion,-11
youneedthis,94,springfashion,1,bling,-10
gymshorts,97,swimsuit,1,everydaybag,-10
valentinesdaygift,100,softaesthetic,1,temuhaul,-10
,,simplyluxurious,1,cleanaesthetic,-9
,,spring,0,minimalbeauty,-9
