New Hashtags,Rank,Risers,Change,Fallers,Change
weeklydeals,7,henna,14,luckoftheirish,-47
unboxingvideo,22,vacationoutfits,11,stpatricksdayoutfit,-29
springoutfit,23,mothersdaygiftideas,8,clover,-28
whimsical,24,minimalbeauty,7,stpattysday,-22
ross,40,cleanaesthetic,6,wirelessbra,-18
temufinds,48,shoulderbag,6,graphictee,-15
wipwednesday,52,slaymode,5,bikinifashion,-14
tiktokholidayhaul,60,simplyluxurious,5,flipflops,-13
supreme,69,travelessentials,5,upcycling,-13
targethaul,72,faja,5,widelegpants,-12
archive,83,comfystyle,5,swimwear,-11
tikokshop,96,sparkleandshine,4,tiktokshopcreatorspicks,-11
,,naturalglow,4,bombparty,-10
,,springoutfits,4,sunglasses,-9
,,curvyfashion,4,bathingsuit,-9
