Apparel_hashtag,Apparel_rank_today,Apparel_rank_prev_state,Apparel_rank_delta,Beauty_Personal_Care_hashtag,Beauty_Personal_Care_rank_today,Beauty_Personal_Care_rank_prev_state,Beauty_Personal_Care_rank_delta,Financial_Services_hashtag,Financial_Services_rank_today,Financial_Services_rank_prev_state,Financial_Services_rank_delta,Food_Beverage_hashtag,Food_Beverage_rank_today,Food_Beverage_rank_prev_state,Food_Beverage_rank_delta,Home_Improvement_hashtag,Home_Improvement_rank_today,Home_Improvement_rank_prev_state,Home_Improvement_rank_delta,Tech_Electronics_hashtag,Tech_Electronics_rank_today,Tech_Electronics_rank_prev_state,Tech_Electronics_rank_delta,Vehicle_Transportation_hashtag,Vehicle_Transportation_rank_today,Vehicle_Transportation_rank_prev_state,Vehicle_Transportation_rank_delta
valentinesoutfit,74,96,22,yellowteeth,30,61,31,financialdiscipline,65,89,24,castiron,66,85,19,,,,,basemo,28,78,50,wagonwheel,32,70,38
valentinegift,80,94,14,drdent,62,77,15,caffeinication,52,55,3,appetizer,80,98,18,,,,,honormagic8pro,30,75,45,мороз,50,72,22
giftideasforher,31,43,12,skin1004,35,38,3,taxes,2,3,1,easycooking,70,83,13,,,,,sharkvacuum,27,64,37,transit,62,74,12
lunarnewyear,56,68,12,slimerants,67,68,1,taxseason,1,1,0,shirleytemple,51,63,12,,,,,booklight,59,87,28,nightdrive,20,27,7
tiktokshopcreatorpick,59,67,8,slime,2,1,-1,ultabeauty,3,2,-1,girlscoutcookies,88,99,11,,,,,voicerecorder,33,58,25,hgs,25,29,4
bedazzled,45,51,6,matureskin,28,27,-1,fintok,38,37,-1,valentinesdayideas,26,36,10,,,,,techupgrade,71,96,25,carsoftiktok😈,63,63,0
workoutset,55,60,5,gurwm,34,33,-1,childtaxcredit,47,46,-1,granola,59,68,9,,,,,ledwall,66,86,20,tpms,77,77,0
supplier,67,72,5,basedbodyworks,18,16,-2,entrepreneurship,6,4,-2,healthyrecipe,20,27,7,,,,,filament,46,60,14,drift,2,1,-1
giftbox,87,92,5,bodybutter,55,53,-2,taxreturn,42,40,-2,sourdoughbaking,37,43,6,,,,,smarttools,56,70,14,aiuniverse,6,5,-1
peledourada,4,8,4,грвм,66,64,-2,tax,9,6,-3,littlecaesars,53,59,6,,,,,electrictoothbrush,21,33,12,emoto,10,9,-1
valentinesdayoutfit,33,37,4,naturalglow,6,2,-4,sidegigs,21,18,-3,cuttingboard,90,95,5,,,,,ultrasoniccleaner,47,59,12,teslatok,40,39,-1
verão,2,5,3,slimerant,9,5,-4,itin,48,45,-3,costcotiktok,60,64,4,,,,,travelsteamer,43,51,8,restored,76,75,-1
belezatropical,3,6,3,estheticiantiktok,11,7,-4,taxtips,14,10,-4,macros,36,38,2,,,,,makerlife,69,77,8,hyundai,4,2,-2
2026bride,8,9,1,drmelaxin,12,8,-4,shopify,15,11,-4,lollipop,65,67,2,,,,,creality,45,52,7,squatttedtrucks🤢,26,21,-5
giftforher,9,10,1,minimalbeauty,8,3,-5,llc,12,7,-5,sanantonio,3,4,1,,,,,3dprinttok,75,82,7,clean🧼,12,6,-6
softaesthetic,11,12,1,concealer,16,10,-6,taxrefund,13,8,-5,caffeineaddiction,41,42,1,,,,,smartscale,25,31,6,yozma,28,22,-6
tiktokshopholidayhaul,1,1,0,redlighttherapy,21,15,-6,extramoney,67,61,-6,salt,44,45,1,,,,,iphone17procase,51,57,6,digrigs🌾,17,8,-9
newyearnewme,7,7,0,bodywash,38,32,-6,livingtrust,19,12,-7,sourdough,1,1,0,,,,,bambulab,11,16,5,redlight,21,12,-9
slaymode,14,14,0,pimplepopping,63,57,-6,impuestos,20,13,-7,protein,2,2,0,,,,,iphone17case,18,23,5,sqauttedtrucks🤮,60,48,-12
womeninbusiness,34,34,0,selftan,51,44,-7,taxpreparer,29,22,-7,pepsi,30,30,0,,,,,ereader,68,73,5,jumpstarter,30,17,-13
alo,38,38,0,ghkcu,45,36,-9,youneedthis,22,14,-8,macrofriendly,69,69,0,,,,,magsafewallet,92,97,5,flames,18,3,-15
polkadot,57,57,0,esteticista,48,39,-9,taxtok,23,15,-8,7brew,9,8,-1,,,,,iphone18,67,71,4,towtruckdriver,99,84,-15
aritzia,64,64,0,lipmask,98,89,-9,incometax,31,23,-8,italian,10,9,-1,,,,,applewatch,8,11,3,fighterjet,29,13,-16
formal,97,97,0,heatlesscurls,27,17,-10,earnmoneyfromhome,18,9,-9,healthymeals,14,12,-2,,,,,smartring,22,25,3,usanavy,36,20,-16
