Apparel_hashtag,Apparel_rank_today,Apparel_rank_prev_state,Apparel_rank_delta,Beauty_Personal_Care_hashtag,Beauty_Personal_Care_rank_today,Beauty_Personal_Care_rank_prev_state,Beauty_Personal_Care_rank_delta,Financial_Services_hashtag,Financial_Services_rank_today,Financial_Services_rank_prev_state,Financial_Services_rank_delta,Food_Beverage_hashtag,Food_Beverage_rank_today,Food_Beverage_rank_prev_state,Food_Beverage_rank_delta,Home_Improvement_hashtag,Home_Improvement_rank_today,Home_Improvement_rank_prev_state,Home_Improvement_rank_delta,Tech_Electronics_hashtag,Tech_Electronics_rank_today,Tech_Electronics_rank_prev_state,Tech_Electronics_rank_delta,Vehicle_Transportation_hashtag,Vehicle_Transportation_rank_today,Vehicle_Transportation_rank_prev_state,Vehicle_Transportation_rank_delta
workoutset,57,84,27,productosdecabello,32,71,39,fintok,29,66,37,tortillas,45,47,2,,,,,infrared,61,86,25,carbuyingtips,22,66,44
momfinds,61,88,27,pantene,38,74,36,moneymatters,45,70,25,erewhon,54,56,2,,,,,voicerecorder,38,60,22,windowtinting,36,76,40
prada,63,82,19,crecimientodepelo,29,62,33,entrepreneurjourney,40,61,21,burger,3,4,1,,,,,cargadorportátil,39,58,19,auctions,65,99,34
springdress,83,98,15,lashlift,55,88,33,taxplanning,53,73,20,mealprepideas,10,11,1,,,,,skullcandy,40,53,13,carplayadapter,62,95,33
bombparty,73,87,14,ugccommunity,60,93,33,realestateeducation,56,74,18,sweetpotato,16,16,0,,,,,microfonos,66,77,11,seatcushion,57,87,30
bikinifashion,42,52,10,dermatologist,64,96,32,multipleincomestreams,79,95,16,sourdough,2,1,-1,,,,,portablepower,41,51,10,carproblems,32,61,29
tiktokshopcreatorpick,46,56,10,thickerhair,36,63,27,taxhelp,71,84,13,sourdoughbread,6,5,-1,,,,,hifi,83,93,10,carsforsale,26,51,25
quietluxury,85,94,9,pixie,63,85,22,womenentrepreneurs,83,96,13,caffeine,14,13,-1,,,,,miniearbuds,65,74,9,cinematicvideo,51,75,24
holidayhaul,86,95,9,gluelesswigs,52,73,21,riskmanagement,38,49,11,sugarfree,33,31,-2,,,,,sharkvacuum,25,29,4,shoplife,42,65,23
finelinetattoo,64,71,7,tallowskincare,75,94,19,calebhammer,32,42,10,coffeemaker,56,54,-2,,,,,technews,10,13,3,ambientlight,58,80,22
staytuned,62,68,6,sensitiveskincare,65,82,17,preciousmetals,67,75,8,dumplings,9,6,-3,,,,,applestore,81,83,2,carwashing,28,47,19
oro,72,78,6,бьюти,47,61,14,contentmarketing,48,54,6,latte,12,8,-4,,,,,innovation,1,1,0,gmctrucks,81,97,16
resellercommunity,55,58,3,selftanner,62,76,14,bookkeeping,60,65,5,breadtok,26,22,-4,,,,,airpurifier,6,6,0,exhaust,20,35,15
unboxingvideo,17,19,2,salonlife,24,37,13,consulting,63,68,5,littlecaesars,29,25,-4,,,,,fastcharge,23,23,0,toyotacamry,34,48,14
matchingset,32,34,2,scalphealth,37,49,12,financialtips,43,47,4,sourdoughtok,15,10,-5,,,,,chargingcord,47,47,0,harleydavison,47,60,13
simplyluxurious,33,35,2,spraytan,54,66,12,retirementplanning,17,20,3,cheetos,51,46,-5,,,,,gadgets,3,2,-1,gto,30,42,12
edikted,54,55,1,maryruths,56,67,11,taxtips,18,21,3,chips,20,14,-6,,,,,futuretech,11,10,-1,towlife,9,20,11
projectcloud,56,57,1,tubingmascara,87,97,10,taxtime,35,38,3,smoothie,23,17,-6,,,,,techtips,5,3,-2,tint,14,25,11
springfashion,11,11,0,skin1004,26,35,9,taxrefund,9,11,2,dumpling,30,24,-6,,,,,electrictoothbrush,26,24,-2,carhacks,6,16,10
belt,67,67,0,heatlesshair,89,98,9,impuestos,24,26,2,dinneridea,72,66,-6,,,,,ipadcase,29,27,-2,taxi,60,70,10
tiktokshopjumpstartsale,4,3,-1,bodywash,30,38,8,financialadvice,57,59,2,whataburger,70,63,-7,,,,,magneticcharger,37,35,-2,caressentials,37,46,9
vintagevibes,49,48,-1,skinbarrier,42,50,8,irs,7,7,0,highproteinbreakfast,83,76,-7,,,,,applewatch,7,4,-3,mecanica,18,26,8
comfyoutfit,80,79,-1,acnetreatment,16,23,7,taxseason,2,1,-1,treatmaker,31,23,-8,,,,,motionsensor,79,76,-3,rs5,84,92,8
spring,3,1,-2,acneproneskin,21,28,7,taxes,3,2,-1,homemadebread,43,35,-8,,,,,flashforge,92,89,-3,gmt900,45,52,7
tiktokholidayhaul,35,33,-2,redlighttherapy,25,32,7,entrepreneurship,6,5,-1,overnightoats,82,74,-8,,,,,kindlecase,86,82,-4,sqauttedtrucks🤮,50,57,7
retailtherapy,48,46,-2,heatlesscurls,27,33,6,taxreturn,30,29,-1,crawfish,19,9,-10,,,,,wifiextender,24,19,-5,harleydavidsonlifestyle,12,18,6
tiktokshopholidayhaul,7,4,-3,shampooandconditioner,50,56,6,incometax,33,32,-1,crunchy,28,18,-10,,,,,filament,51,46,-5,mobiledetailer,43,49,6
smallbusinessowner,12,9,-3,gopure,73,79,6,tradingview,64,63,-1,asiansnacks,91,79,-12,,,,,audiophile,46,39,-7,tucson,4,8,4
cleanaesthetic,16,13,-3,hairproduct,34,39,5,entrepreneurlife,5,3,-2,thingstodoinla,68,55,-13,,,,,powergenerator,48,41,-7,flames,5,9,4
confidenceboost,23,20,-3,rarebeauty,43,48,5,wealthbuilding,10,8,-2,easycooking,88,75,-13,,,,,mixer,28,20,-8,yozma,10,14,4
totebag,25,21,-4,dryskin,20,24,4,taxtok,37,35,-2,granola,63,49,-14,,,,,basemo,52,44,-8,daytona,13,17,4
polkadot,47,43,-4,matureskin,22,26,4,trusts,39,37,-2,microbakery,76,62,-14,,,,,kindlegirlie,16,7,-9,carcontent,33,37,4
minniemouse,58,54,-4,favorites,76,80,4,earnmoneyfromhome,16,13,-3,chocolatecoveredstrawberries,36,21,-15,,,,,jbl,22,12,-10,toyotacorolla,59,63,4
slaymode,21,16,-5,complimentary,11,14,3,wealthmindset,22,19,-3,shirleytemple,58,43,-15,,,,,bambulab,19,8,-11,digrig,3,6,3
bedazzled,44,39,-5,lashserum,49,52,3,livingtrust,28,25,-3,sardines,78,61,-17,,,,,3dprinter,17,5,-12,1of1,27,30,3
prom2026,52,47,-5,nailsathome,81,84,3,shopify,14,10,-4,mariscos,35,15,-20,,,,,osmopocket3,27,14,-13,clean🧼,2,3,1
reseller,14,8,-6,hairstyleinspo,86,89,3,fba,19,14,-5,pinkdrink,64,44,-20,,,,,actioncamera,45,32,-13,upgrade,11,12,1
whimsy,29,23,-6,bodycareroutine,44,46,2,tax,15,9,-6,proteindrink,90,69,-21,,,,,vloggingcamera,35,21,-14,tahoe,7,7,0
temu,30,24,-6,pdrn,15,16,1,sidegigs,23,17,-6,nutella,61,37,-24,,,,,translator,60,43,-17,e85,16,15,-1
abaya,65,59,-6,softglam,17,18,1,taxes2025,47,41,-6,peeps,67,42,-25,,,,,airpod,34,16,-18,launch,55,54,-1
sparkleandshine,19,12,-7,sensitiveskin,18,19,1,grantfunding,49,43,-6,biscoff,48,19,-29,,,,,iphonecharger,73,55,-18,sportcars,91,89,-2
embroidery,34,27,-7,basedbodyworks,19,20,1,moneytalks,25,18,-7,pickle,60,26,-34,,,,,ecoflow,36,17,-19,leanrig,100,98,-2
gold,10,2,-8,lash,41,42,1,walgreens,20,12,-8,biscoffcheesecake,84,50,-34,,,,,creality,49,30,-19,emoto,8,5,-3
softaesthetic,18,10,-8,slime,1,1,0,moneytalk,31,23,-8,mocktail,94,58,-36,,,,,almacenamiento,87,65,-22,carsoftiktok😈,61,58,-3
valentinesdaygift,38,30,-8,teethwhitening,7,7,0,marketstructure,87,77,-10,foodvlog,86,48,-38,,,,,putare,62,37,-25,chipeo,31,27,-4
rossfinds,39,31,-8,skincaretok,48,47,-1,taxsavings,50,39,-11,crawfishseason,77,33,-44,,,,,ipadaccessories,70,45,-25,squattedtrucks,41,34,-7
promdress,37,28,-9,aginggracefully,59,58,-1,realtortips,69,57,-12,crawfishboil,92,34,-58,,,,,steamiron,59,33,-26,affordablecars,93,85,-8
