Apparel_hashtag,Apparel_rank_today,Apparel_rank_prev_state,Apparel_rank_delta,Beauty_Personal_Care_hashtag,Beauty_Personal_Care_rank_today,Beauty_Personal_Care_rank_prev_state,Beauty_Personal_Care_rank_delta,Financial_Services_hashtag,Financial_Services_rank_today,Financial_Services_rank_prev_state,Financial_Services_rank_delta,Food_Beverage_hashtag,Food_Beverage_rank_today,Food_Beverage_rank_prev_state,Food_Beverage_rank_delta,Home_Improvement_hashtag,Home_Improvement_rank_today,Home_Improvement_rank_prev_state,Home_Improvement_rank_delta,Tech_Electronics_hashtag,Tech_Electronics_rank_today,Tech_Electronics_rank_prev_state,Tech_Electronics_rank_delta,Vehicle_Transportation_hashtag,Vehicle_Transportation_rank_today,Vehicle_Transportation_rank_prev_state,Vehicle_Transportation_rank_delta
matchingpjs,45,87,42,lorealparismakeup,69,82,13,cvsdeals,14,38,24,cookierecipe,62,83,21,,,,,actioncamera,41,83,42,yozma,38,43,5
christmasgiftidea,24,60,36,projectpan,84,97,13,cvscouponing,13,30,17,dumplings,13,22,9,,,,,gadgetfinds,50,86,36,holidaytrain,75,80,5
bootsandhats,59,89,30,wintermakeup,56,65,9,affordability,37,53,16,christmasrecipe,47,55,8,,,,,iphonerepair,59,91,32,yakima,27,31,4
invierno,21,48,27,crecimientodepelo,23,26,3,tradingmindset,64,74,10,sweetpotato,12,18,6,,,,,techgifts,43,67,24,wrapping,13,15,2
grungeglam,50,76,26,lorealparispartner,54,56,2,aitrading,73,80,7,hotcocoa,15,21,6,,,,,kneemassager,20,38,18,clean🧼,4,5,1
rainydaylook,51,77,26,stockingstuffersforher,58,59,1,xauusd,69,75,6,christmasdinner,44,50,6,,,,,handmassager,44,62,18,squatttedtrucks🤢,19,18,-1
indoorbeauty,52,78,26,eyepatches,77,78,1,micropayments,26,29,3,christmasbaking,7,11,4,,,,,17promax,34,46,12,rocco,86,85,-1
coat,72,96,24,lauragellerbeauty,98,99,1,richmindset,39,42,3,christmasfood,61,65,4,,,,,ipadgirly,76,87,11,waymo,23,20,-3
temu,77,100,23,adventcalendar,1,1,0,makemoneyfromyourphone,15,13,-2,gingerbreadhouse,2,5,3,,,,,ecoflow,30,39,9,coldstart,7,3,-4
cityglam,61,83,22,holidaymakeup,25,25,0,onlinemoney,22,20,-2,gingerbread,5,7,2,,,,,wirelesscharging,23,31,8,jumpstart,58,52,-6
cowgirlstyle,43,63,20,bathandbodyworks,4,2,-2,financialliteracy,5,2,-3,charcuterie,24,26,2,,,,,bose,26,33,7,digrigs🌾,10,2,-8
winteroutfits,78,98,20,glitter,7,5,-2,earnmoneyfromhome,6,3,-3,hotchocolate,4,4,0,,,,,vloggingcamera,42,48,6,smokeyandthebandit,65,56,-9
nycstyle,49,66,17,cosrx,47,45,-2,trader,7,4,-3,tamales,9,8,-1,,,,,audifonos,27,32,5,tire,20,9,-11
beanie,76,93,17,accutane,87,85,-2,futurestrading,10,7,-3,pozole,42,41,-1,,,,,worklight,53,58,5,jumpstarter,16,4,-12
holidayoutfit,41,55,14,freeforms,26,23,-3,shopify,11,8,-3,christmascocktails,79,78,-1,,,,,starlink,73,78,5,6blow,48,36,-12
giftideasforher,31,44,13,estheticiantiktok,8,4,-4,amex,38,35,-3,holidaytreats,22,20,-2,,,,,humidifier,13,17,4,ratchetstraps,81,69,-12
baddiealert,55,68,13,makeupbag,28,22,-6,entrepreneurjourney,43,40,-3,flan,53,51,-2,,,,,cctv,17,21,4,roadsideassistance,29,16,-13
coldweather,11,23,12,cleanskinclub,80,74,-6,financialtips,46,43,-3,christmascandy,71,69,-2,,,,,chargingstation,36,40,4,tireinflator,44,28,-16
present,47,59,12,dyson,45,38,-7,taxpreparer,48,45,-3,sugarcookies,27,24,-3,,,,,compactcharger,91,95,4,carhack,46,8,-38
moodyaesthetic,40,51,11,rednails,27,19,-8,financialfreedomjourney,57,52,-5,dumpling,55,52,-3,,,,,heater,6,9,3,автобус,95,55,-40
urbanchic,27,37,10,dysonairwrap,37,29,-8,moneyhacks,42,36,-6,breakfastrecipes,56,53,-3,,,,,handwarmers,7,10,3,trusted,1,,
regalos,33,42,9,tymobeauty,42,33,-9,micropayment,53,47,-6,pho,16,12,-4,,,,,jbl,8,11,3,polarexpress,2,,
chanel,15,22,7,menscologne,38,28,-10,budgettok,63,55,-8,snackplate,93,88,-5,,,,,newphone,22,25,3,aiuniverse,3,,
winteroutfit,29,36,7,skin1004,32,21,-11,futures,16,6,-10,holidaydrinks,21,14,-7,,,,,wifiextender,32,34,2,gatlinburg,5,,
giftsforher,8,14,6,handcream,99,88,-11,跨境电商喜欢可以关注我,36,25,-11,pomegranate,39,31,-8,,,,,magneticpowerbank,33,35,2,gmt800,6,,
christmasshopping,13,19,6,winterskincare,66,54,-12,трейдинг,78,67,-11,coquito,72,64,-8,,,,,iphone17promax,2,3,1,emoto,8,,
wishlist,22,28,6,grayhair,74,61,-13,跨境电商tiktok,33,21,-12,ninjaslushi,81,72,-9,,,,,walkietalkie,14,15,1,spark,9,,
christmasgifts,6,11,5,ghkcu,96,83,-13,livingtrust,40,27,-13,appetizer,67,57,-10,,,,,portablewifi,52,53,1,digrig,11,,
holidaycountdown,16,21,5,winternails,21,7,-14,calebhammer,56,41,-15,littledebbie,52,40,-12,,,,,innovation,1,1,0,phantom,12,,
waterproof,80,85,5,redlighttherapy,31,17,-14,debtpayoffjourney,49,28,-21,littledebbiechristmastreecakes,60,48,-12,,,,,flashlight,5,5,0,towlife,14,,
christmasgift,5,9,4,brows,24,9,-15,跨境电商运营,41,19,-22,holidayrecipes,49,35,-14,,,,,handwarmer,29,29,0,nightdrive,15,,
holidayseason,9,13,4,lipcare,49,34,-15,跨境电商创业,45,23,-22,christmastreecakes,84,68,-16,,,,,steamiron,31,30,-1,wirelesscarplay,17,,
sweatpants,58,62,4,bellavitaluxury,59,44,-15,无货源跨境电商,47,24,-23,tendernism,34,17,-17,,,,,dreame,49,47,-2,genuine,18,,
giftsforhim,14,17,3,tirtir,34,18,-16,cashback,85,60,-25,christmasdrinks,50,33,-17,,,,,tablet,15,12,-3,приора,21,,
christmasgiftideas,2,3,1,bellavita,36,20,-16,trusts,94,68,-26,kitchenaid,58,38,-20,,,,,coolgadgets,16,13,-3,closecall,22,,
tiktokshopcybermonday,3,4,1,jeffreestar,70,53,-17,realtortips,76,49,-27,7brewcoffee,57,36,-21,,,,,putare,47,44,-3,felt,24,,
giftideas,4,5,1,beautyhack,67,47,-20,cashenvelopes,52,22,-30,macncheese,73,47,-26,,,,,skullcandy,60,56,-4,desoto,25,,
sweater,25,26,1,cateyenails,61,40,-21,ecommercetips,83,46,-37,chocolatechipcookie,89,62,-27,,,,,gancharger,74,70,-4,shovel,26,,
christmasoutfit,34,35,1,sharkflexstyle,90,69,-21,payout,88,51,-37,sardines,99,60,-39,,,,,cctvcamera,79,68,-11,flames,28,,
tiktokshopblackfriday,1,1,0,грвм,92,70,-22,topstep,84,44,-40,redbulladventcalendar,90,45,-45,,,,,thermalprinter,75,57,-18,myfriends,30,,
gifts,7,7,0,sheglam,71,48,-23,rich,1,,,leftovers,92,46,-46,,,,,ledflashlight,94,72,-22,pickuptruck,31,,
christmaslist,39,39,0,retinol,65,39,-26,doordash,2,,,thanksgivingdinner,80,15,-65,,,,,pinkipad,93,69,-24,nycsubway,32,,
holidaygifts,26,25,-1,hairdryer,78,52,-26,poohshiesty,3,,,mcdonalds,1,,,,,,,miniphone,71,42,-29,автоваз,33,,
winterfashion,10,8,-2,hairproductsyouneed,76,49,-27,inflation,4,,,chickfila,3,,,,,,,tiktokshopblackfriday2025,82,51,-31,livin,34,,
giftforher,36,34,-2,adventcalendaropening,43,15,-28,sidegigs,8,,,thanksgiving,6,,,,,,,androidtablet,97,52,-45,transparency,35,,
giftforhim,48,46,-2,numbuzin,82,51,-31,walmartpartner,9,,,holidaybaking,8,,,,,,,voicerecorder,90,37,-53,360camera,36,,
christmaspajamas,75,73,-2,hairproductreview,44,12,-32,tradingtips,12,,,burgerking,10,,,,,,,phonecharger,3,,,viva,37,,
jacket,30,27,-3,calendariodeadviento,72,30,-42,adoreyou,17,,,miaminights,11,,,,,,,bluetoothspeaker,4,,,manta,39,,
tiktokshopfalldealsforyou,28,24,-4,guasha,91,8,-83,credittips,18,,,7brew,14,,,,,,,айфон17,9,,,carjumpstarter,40,,
blackfriday,12,6,-6,elf,2,,,bonus,19,,,innout,17,,,,,,,wifi,10,,,kubota,41,,
stockingstuffers,37,30,-7,christmasnails,3,,,giftcards,20,,,providence,18,,,,,,,gamingkeyboard,11,,,insta360x5,42,,
christmaswishlist,57,49,-8,glittermakeup,5,,,greed,21,,,sourdoughstarter,19,,,,,,,battery,12,,,dax,43,,
giftidea,19,10,-9,lipstick,6,,,accounting,23,,,shawarma,20,,,,,,,gamingheadset,18,,,bubbarig🌾,45,,
socks,42,31,-11,holidaynails,9,,,decision,24,,,fblifestyle,23,,,,,,,speakers,19,,,als,47,,
warm,63,50,-13,dollartreefinds,10,,,taxrefund,25,,,gingerbreadman,25,,,,,,,futuretech,21,,,enjin,49,,
vendor,66,53,-13,elfcosmetics,11,,,nft,27,,,hosting,26,,,,,,,айфон,24,,,pinkcar,50,,
winterboots,69,54,-15,hairflip,12,,,defi,28,,,farmersmarket,28,,,,,,,smartring,25,,,carplayadapter,51,,
quarterzip,46,29,-17,southernbelle,13,,,bathandbody,29,,,tequila,29,,,,,,,iphone17promaxcase,28,,,tirerepair,52,,
holidaygiftideas,65,47,-18,texasbeauty,14,,,earnmoneyonline,30,,,candycane,30,,,,,,,lintremover,35,,,starlights,53,,
christmassweater,74,52,-22,advent,15,,,izayatiji,31,,,cookinghacks,31,,,,,,,thermalcamera,37,,,autoparts,54,,
blackfridaydeals,44,20,-24,sunsetaesthetic,16,,,getrichordietryin,32,,,frostbuddy,32,,,,,,,multifunctional,38,,,d10,55,,
holidaygiftguide,91,64,-27,drmelaxin,17,,,mentalidadmillonaria,34,,,friendsgiving,33,,,,,,,dryer,39,,,hoverboard,56,,
tiktokblackfriday,85,43,-42,eyebrows,18,,,christmasmoney,35,,,centralvalley,35,,,,,,,sharkvacuum,40,,,газ,57,,
babyboo,17,,,slimerant,19,,,founderstory,44,,,butter,36,,,,,,,iphone17case,45,,,porche,59,,
wintervibes,18,,,lipbalm,20,,,earnfromhome,50,,,holidaymarket,37,,,,,,,telephone,46,,,intake,60,,
westernfashion,20,,,peptides,22,,,pumpfun,51,,,christmasbar,38,,,,,,,electrictoothbrush,48,,,obd2scanner,61,,
newyearnewme,23,,,mikaylanogueira,29,,,ibotta,54,,,coke,40,,,,,,,tmobile,51,,,toofast,62,,
winterishere,32,,,goodgirl,30,,,fintech,55,,,sushilover,41,,,,,,,electricblanket,54,,,vinylstickers,63,,
hat,35,,,hairtools,33,,,easysidehustle,58,,,southjersey,43,,,,,,,earphone,55,,,lifeontheroad,64,,
shopwithme,38,,,affordablemakeup,35,,,kankan,59,,,marshmallow,45,,,,,,,travelsteamer,56,,,loading,66,,
gloves,53,,,bath,39,,,founderlife,60,,,eggnog,46,,,,,,,eyemassager,57,,,disneydestiny,67,,
christmashaul,54,,,whiteningstrips,40,,,dolares,61,,,peppermint,48,,,,,,,techdeals,58,,,miniexcavator,68,,
strut,56,,,atlantahairstylist,41,,,taxreturn,62,,,bryantpark,51,,,,,,,robotvaccuum,61,,,militarytech,69,,
tiktokshopholidaydeals,60,,,filler,46,,,personalbrand,65,,,mcdonald,54,,,,,,,tvmounting,62,,,baddrivers,70,,
winterfit,62,,,giftset,48,,,childtaxcredit,66,,,ктотакой,59,,,,,,,digitalphotoframe,63,,,plowtruck,71,,
formal,64,,,маникюр,50,,,realestateeducation,67,,,hmart,63,,,,,,,desktop,64,,,elantra,72,,
uglysweaters,67,,,ycz,51,,,amazonfbaseller,68,,,latteart,64,,,,,,,oled,65,,,modulo,73,,
rekomendasi,68,,,favs,52,,,bathbodyworks,70,,,seafoodcity,65,,,,,,,digitalframe,66,,,equinox,74,,
hats,70,,,decompress,53,,,taxes2025,71,,,cookingtips,66,,,,,,,appleiphone,67,,,wintervibes❄🥶,76,,
bfcm,71,,,christmasnailinspo,55,,,debtrelief,72,,,bakingtok,68,,,,,,,dieselheater,68,,,day7,77,,
christmaspresents,73,,,pixie,57,,,onlinemarketing,74,,,holidaycookies,69,,,,,,,jblheadphones,69,,,nolimit,78,,
chirstmas,79,,,christmasnailart,60,,,bathandbodyworkssale,75,,,gumbo,70,,,,,,,machinelearning,70,,,damaged,79,,
zara,81,,,loreal,62,,,bookkeeping,77,,,brownie,74,,,,,,,kidscamera,72,,,century,80,,
allblack,82,,,shampooandconditioner,63,,,marketupdate,79,,,divebar,75,,,,,,,calentador,77,,,autoglass,82,,
wintercoat,83,,,xmasnails,64,,,amexplatinum,80,,,tender,76,,,,,,,firestick,78,,,fsd,83,,
staywarm,84,,,fwee,68,,,planahead,81,,,stlouismo,77,,,,,,,philips,80,,,ladytrucker,84,,
wibgajian,86,,,giveaways,73,,,bigmoney,82,,,grilledcheese,78,,,,,,,iphoneupdate,81,,,мороз,85,,
uggs,87,,,howtogetpr,75,,,financialclarity,86,,,potluck,82,,,,,,,extensioncord,83,,,tso,87,,
softgirl,88,,,miamihairstylist,79,,,financialdiscipline,87,,,bonebroth,83,,,,,,,microfono,84,,,slider,88,,
snowboots,89,,,prbrands,81,,,xpcommunity,89,,,jerseycity,85,,,,,,,nightvisiongoggles,85,,,autosales,89,,
ralphlauren,90,,,eyecare,83,,,tiktokamerica,90,,,budgetmeals,86,,,,,,,fakewindow,86,,,elantran,90,,
giftideasforhim,92,,,menslocstyles,85,,,incometax,91,,,chickenalfredo,87,,,,,,,cowsar,87,,,diycar,91,,
chrismasgifts,93,,,girlalala,86,,,buildingcommunity,92,,,smorescookies,88,,,,,,,invisibleearbuds,88,,,crank,92,,
tiktokcreatorpicks,94,,,eyebrowslit,88,,,rdcworld,93,,,innoutburger,91,,,,,,,magneticcharger,89,,,abnormal,93,,
winterstyle,95,,,diorbeauty,89,,,faithandfinance,95,,,fudge,94,,,,,,,ipada16,92,,,wheeler,94,,
cybermonday,96,,,bodylotion,93,,,genzfinance,96,,,bryantparkwintervillage,95,,,,,,,kidsphone,95,,,x3m,96,,
carhartt,97,,,holidayglow,94,,,forbes,97,,,norfolkva,96,,,,,,,stickerprinter,96,,,38s,97,,
furcoat,98,,,patricktabeauty,95,,,financialwellness,98,,,homemadegifts,97,,,,,,,batterycharger,98,,,липецк,98,,
fashiondeals,99,,,carolinaherrera,97,,,tradingjourney,99,,,hielo,98,,,,,,,solarpowered,99,,,strobelights,99,,
hermes,100,,,teethwhiteningstrips,100,,,preciousmetals,100,,,breadmaking,100,,,,,,,soundmachine,100,,,mambafx,100,,
