New Hashtags,Rank,Risers,Change,Fallers,Change
productosdecabello,4,burmesecurly,13,clients,-35
ugccreator,8,humanhairwigs,13,bedtimeroutine,-21
mikaylanogueira,22,acneskincare,13,skincaretok,-20
facemask,29,halfwig,12,sensitiveskincare,-20
bbcream,38,scalphealth,9,skinbarrier,-19
maybelline,46,sampletok,7,spf50,-16
curlingiron,56,luxuryhair,7,skintint,-15
centella,60,tintedmoisturizer,5,protectorsolar,-15
purito,78,peptideserum,5,maryruths,-14
hairwashday,98,trim,4,beetlesgelpolish,-13
mommymakeover,99,haircuttransformation,4,beautyroutine,-11
lorealistar,100,deodorant,3,perfumereview,-11
,,gopure,3,makeuptutorials,-10
,,minoxidil,3,nailtechlife,-9
,,slimeasmr,2,antesydespues,-8
