New Hashtags,Rank,Risers,Change,Fallers,Change
selfcareroutine,9,hismile,33,scalphealth,-45
footcare,13,lipcombotutorial,21,minoxidil,-35
eyepatches,23,makeupremover,21,tummytuck,-20
selfcaresunday,28,pantene,21,sendsounds,-18
hairday,29,squishytoys,17,spf50,-16
hairaccessories,33,athomenails,16,spraytan,-15
ugccommunity,39,makeuporganizer,11,skinbarrier,-15
hydraulicpress,54,neutrogena,10,selftanner,-15
braid,57,updo,10,drdent,-15
matureskincare,73,waxjugasmr,9,undertone,-13
hairwashday,84,bedazzling,8,mommymakeover,-13
maryruth,89,beautycreator,7,gelpolish,-12
cuttingsend,90,ghkcu,6,eyecare,-12
chalk,94,gopure,6,greennails,-12
jeanpaulgaultier,95,skincarefinds,6,cuidadohair,-11
