New Hashtags,Rank,Risers,Change,Fallers,Change
sunscreen,8,spraytan,24,paronychia,-31
pedicure,11,selftanner,22,squishytoys,-28
pixiecut,18,torriden,21,dye,-26
mommymakeover,25,giftedbynative,19,ivyleague,-25
nailsinspo,39,herbalessences,18,footcleaning,-23
curlingiron,48,skinbarrier,13,bedazzling,-19
hairstylistlife,56,axisy,12,nailfail,-17
humanhairwigs,65,yellowteeth,10,toddlerhairstyles,-17
springmakeup,69,acneproneskin,9,hairessentials,-16
skincarereview,70,arencia,9,newlook,-16
acneskincare,71,lashlift,8,bigchop,-16
cleaningredients,77,hyaluronicacid,8,drgroot,-16
sharimohair,80,centella,8,blond,-14
diybeauty,83,sampletok,7,squishyasmr,-12
acnejourney,92,makeuphack,7,selftan,-10
